CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,BLOCKXCOORD,BLOCKYCOORD,WARD,ANC,DISTRICT,PSA,NEIGHBORHOODCLUSTER,BUSINESSIMPROVEMENTDISTRICT,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,START_DATE,END_DATE,lat,lon
13007889,1/18/2013 8:00:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,1401 - 1433 BLOCK OF H STREET NE,401317,136926,6,6A,FIRST,104,25,,008402 1,008402,Precinct 82,1/18/2013 5:35:00 PM,1/18/2013 5:40:00 PM,38.9001857946552,-76.9848173304161
13007984,1/18/2013 9:15:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,4800  - 4899 BLOCK OF ILLINOIS AVENUE NW,398006,142356,4,4D,FOURTH,407,18,,002201 1,002201,Precinct 55,1/18/2013 9:13:00 PM,1/18/2013 9:14:00 PM,38.9490996827109,-77.0230030498513
13008008,1/18/2013 9:23:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:07 AM,1500 - 1599 BLOCK OF BENNING ROAD NE,401521,136902,6,6A,FIFTH,507,23,,007901 4,007901,Precinct 81,1/18/2013 9:23:00 PM,1/18/2013 9:23:00 PM,38.8999692647491,-76.9824656261379
13008016,1/18/2013 11:30:00 PM,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:06 AM,2 - 153 BLOCK OF GALVESTON PLACE SW,399156,128511,8,8D,SEVENTH,708,39,,009807 2,009807,Precinct 126,1/18/2013 9:10:00 PM,1/18/2013 9:19:00 PM,38.8243805498364,-77.0097194915369
13008034,1/18/2013 10:02:00 PM,EVENING,ROBBERY,GUN,9/23/2014 8:34:09 AM,3700 - 3899 BLOCK OF CONNECTICUT AVENUE NW,394763,141214,3,3F,SECOND,203,12,,000600 1,000600,Precinct 27,1/18/2013 10:02:00 PM,1/18/2013 10:02:00 PM,38.9387988760569,-77.0604060052182
13008036,1/18/2013 10:24:00 PM,EVENING,ASSAULT W/DANGEROUS WEAPON,GUN,9/23/2014 8:34:09 AM,60TH STREET NE AND DIX STREET NE,407370.58000479,136295.19999591,7,7C,SIXTH,608,31,,007808 2,007808,Precinct 96,1/18/2013 10:24:00 PM,1/18/2013 10:24:00 PM,38.8944734079371,-76.9150371025239
13008066,1/18/2013 11:46:00 PM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,1300 - 1399 BLOCK OF K STREET SE,401135,134507,6,6B,FIRST,106,26,,007100 1,007100,Precinct 91,1/18/2013 11:46:00 PM,1/18/2013 11:46:00 PM,38.8783947882857,-76.986919462793
13008069,1/18/2013 11:47:00 PM,MIDNIGHT,BURGLARY,GUN,9/23/2014 8:34:07 AM,800 - 899 BLOCK OF H R DRIVE SE,400695,129114,8,8E,SEVENTH,706,39,,009700 2,009700,Precinct 125,1/18/2013 11:47:00 PM,1/18/2013 11:47:00 PM,38.8298127867964,-76.9919957813878
13008133,1/19/2013 3:13:00 AM,MIDNIGHT,ROBBERY,GUN,9/23/2014 8:34:07 AM,1120 - 1199 BLOCK OF NORTH CAPITOL STREET,399213,137478,6,6E,FIRST,103,8,,004701 1,004701,Precinct 1,1/19/2013 3:13:00 AM,1/19/2013 3:13:00 AM,38.9051590404036,-77.0090733439794
13008135,1/19/2013 12:00:00 AM,MIDNIGHT,HOMICIDE,GUN,9/23/2014 8:34:09 AM,2700 - 2799 BLOCK OF GEORGIA AVENUE NW,398030,139732,1,1B,THIRD,304,2,,003500 1,003500,Precinct 37,1/19/2013 2:28:00 AM,1/19/2013 2:31:00 AM,38.9254619679683,-77.0227186492718
